id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-11-10T14:01:15;Savings Account Dam;ISSUED;CREDIT_CARD;2019-11-11T07:22:45;96990
2;parsing red Chips;2019-11-11T04:19:53;methodology Albania;ISSUED;CREDIT_CARD;2019-11-10T21:47:15;9060
3;Savings Account syndicate Planner;2019-11-10T21:31:51;HDD;CANCELLED;PAYPAL;2019-11-11T02:56:55;44015
4;Rubber Buckinghamshire Games;2019-11-10T10:54:35;Digitized invoice;PAID;PAYPAL;2019-11-10T14:07:48;44975
5;e-enable Communications capacitor;2019-11-11T00:53:46;Georgia;PAID;CREDIT_CARD;2019-11-10T18:09:52;54269
6;Plastic;2019-11-10T13:28:50;Small;PAID;CASH_ON_DELIVERY;2019-11-11T06:57:22;92630
7;deposit Internal;2019-11-10T12:19:57;Highway Ergonomic;CANCELLED;CASH_ON_DELIVERY;2019-11-10T23:32:35;11959
8;bus synthesize Idaho;2019-11-10T14:13:48;Avon;ISSUED;PAYPAL;2019-11-10T17:27:34;47537
9;Montana;2019-11-10T16:02:27;Concrete Investment Account Saint Lucia;PAID;PAYPAL;2019-11-10T17:44:56;80812
10;deposit;2019-11-10T11:49:06;digital maroon;ISSUED;CREDIT_CARD;2019-11-11T03:15:46;64769
