id;placed_date;status;code;invoice_id;customer_id
1;2019-11-10T18:40:37;PENDING;deposit Station;54561;1
2;2019-11-10T13:02:25;COMPLETED;analyzing;21458;2
3;2019-11-11T06:19:01;CANCELLED;Handcrafted Plastic Shirt quantifying;2327;3
4;2019-11-11T00:33:38;PENDING;Accountability Handmade Cotton Bacon;96758;4
5;2019-11-11T01:58:00;CANCELLED;Producer infrastructures;37201;5
6;2019-11-11T02:44:07;COMPLETED;Dobra application;23823;6
7;2019-11-11T06:15:38;CANCELLED;encoding Direct;38920;7
8;2019-11-11T07:27:07;CANCELLED;granular;95680;8
9;2019-11-10T09:56:03;PENDING;methodical;32866;9
10;2019-11-10T19:26:48;COMPLETED;Optimization;97424;10
